"","month","srv_addr","date_post","admin","chat","info","economy","plugin_count","rulesum"
"1",1,"162.210.37.18",2014-11-05,9,4,5,10,29,1992
"2",1,"copycraft.us.to",2014-11-05,7,1,6,2,21,1992
"3",1,"mc.thedim3nsions.com",2014-11-05,11,1,12,6,38,1992
"4",1,"play.nyvaria.net",2014-11-05,19,1,6,6,51,1992
"5",1,"myancraft.mcdl.us",2014-11-05,12,4,2,10,29,1992
"6",1,"kdms.us",2014-11-05,15,0,4,8,30,1992
"7",1,"server.asterionmc.com",2014-11-05,4,1,2,0,72,1992
"8",1,"play.newtessamc.com",2014-11-05,13,2,8,6,44,1992
"9",1,"mc.xtremeidiots.com",2014-11-05,13,3,7,14,48,1992
"10",1,"mc.baronsofbullshit.com",2014-11-05,5,1,3,4,18,1992
"11",1,"mc.colonyuniverse.net",2014-11-05,9,2,6,5,32,1992
"12",1,"archoncrafters.com",2014-11-05,4,2,4,5,25,1992
"13",1,"37.220.28.138:25667",2014-11-05,6,2,7,13,38,1992
"14",1,"198.12.123.99",2014-11-05,4,0,1,6,13,1992
"15",1,"69.175.36.87",2014-11-05,12,0,10,8,42,1992
"16",1,"mc.scarletacres.com",2014-11-05,7,0,5,5,29,1992
"17",1,"minecraft4.com",2014-11-05,3,1,2,3,13,1992
"18",1,"mumble.beardytown.com",2014-11-05,1,0,2,5,10,1992
"19",1,"login.misfitmc.com",2014-11-05,23,4,16,10,70,1992
"20",1,"mc.summaxr.com",2014-11-05,19,3,12,4,66,1992
"21",1,"192.99.193.212",2014-11-05,14,0,6,12,47,1992
"22",1,"119.252.189.56:25875",2014-11-05,13,5,11,11,50,1992
"23",1,"play.riesnercraft.com",2014-11-05,7,0,9,7,29,1992
"24",1,"baaacraft.mcpickle.com",2014-11-05,16,3,7,8,40,1992
"25",1,"navyyard.nitrado.net",2014-11-05,12,4,15,7,48,1992
"26",1,"185.16.85.21:25665",2014-11-05,13,3,14,11,53,1992
"27",1,"crypticchaos.ca",2014-11-05,15,2,10,12,54,1992
"28",1,"vanilla.thenerdsplayground.com",2014-11-05,1,1,2,5,9,1992
"29",1,"play.budder.eu",2014-11-05,17,2,9,9,45,1992
"30",1,"185.16.85.36:26165",2014-11-05,3,0,2,5,14,1992
"31",1,"192.99.250.176",2014-11-05,7,2,5,9,27,1992
"32",1,"192.99.0.221:25591",2014-11-05,4,1,3,12,21,1992
"33",1,"agoria.ca",2014-11-05,14,3,7,6,35,1992
"34",1,"play.theqgn.com",2014-11-05,9,1,7,6,35,1992
"35",1,"play.grottomc.com",2014-11-05,15,2,15,9,52,1992
"36",1,"play.simvale.com",2014-11-05,4,0,2,7,15,1992
